店名:和颐至格酒店(南京柳州北路弘阳广场店)	地区:华侨城，距离泰山新村地铁站1.7km	价格:266
店名:维也纳国际酒店(南京高淳地铁站店)	地区:镇兴路沿线，1km内无地铁站	价格:429
店名:如家商旅(南京夫子庙通济门店)	地区:秦淮区，距离武定门地铁站760m	价格:282
店名:玺城阿里酒店	地区:南京南站/明发，距离南京南站地铁站395m	价格:309
店名:优颐城市酒店	地区:仙林大学城，距离学则路地铁站80m	价格:328
店名:植物恋人女生青旅(新街口地铁站店)	地区:新街口地区，距离南京中心大酒店100m	价格:45
店名:南京秀水湾公寓	地区:百家湖，距离百家湖地铁站240m	价格:328
店名:南京奥体中心美居酒店	地区:奥体中心，距离奥体东地铁站80m	价格:510
店名:白玉兰酒店(南京江宁胜太西路店)	地区:托乐嘉，距离翠屏山地铁站410m	价格:315
店名:汉庭优佳(南京奥体中心店)	地区:奥体中心，距离奥林匹克体育中心565m	价格:352
店名:水秀苑大酒店	地区:百家湖，距离胜太西路地铁站940m	价格:498
店名:清沐精选云酒店(南京林业大学蒋王庙店)	地区:樱驼花园/花园路，距离蒋王庙社区地铁站645m	价格:259
店名:南京金陵之星大酒店	地区:火车站/玄武湖，距离南京林业大学·新庄地铁站475m	价格:407
店名:南京丁山花园大酒店	地区:三牌楼，距离水木秦淮时尚街区1.3km	价格:527
店名:南京阿尔卡迪亚国际酒店(环龙池路店)	地区:龙池，距离龙池地铁站1.3km	价格:406
店名:南京安朴酒店	地区:雨花台区，距离铁心桥地铁站660m	价格:602
店名:麗枫酒店(南京卡子门地铁站永乐路店)	地区:秦淮区，距离卡子门地铁站410m	价格:310
店名:汉庭优佳(南京新街口店)	地区:新街口地区，距离时尚莱迪商城350m	价格:391
店名:O₂氧气精选酒店	地区:升州路/集庆路，距离水游城135m	价格:369
店名:索米亚主题酒店	地区:仙林大学城，距离南京财经大学仙林校区570m	价格:188
店名:二宅酒店	地区:秦虹村/中华门，距离中华门站295m	价格:899
店名:恳丁呔倥舱公寓	地区:升州路/集庆路，距离瞻园120m	价格:49
店名:有家精品酒店公寓	地区:雨花台区，距离天隆寺地铁站195m	价格:248
店名:7天连锁酒店(南京中山陵光华路店)	地区:苜蓿园，距离中华门站4.5km	价格:137
店名:莫泰酒店(南京新街口地铁站明瓦廊美食街店)	地区:新街口地区，距离新街口325m	价格:284
店名:珍宝假日饭店(江宁店)	地区:殷巷，距离百家湖地铁站765m	价格:636
店名:莫泰酒店(南京夫子庙地铁站平江府路店)	地区:夫子庙地区，距离夫子庙400m	价格:351
店名:书香世家酒店(南京新街口德基广场店)	地区:新街口地区，距离南京中心大酒店130m	价格:560
店名:南京宽渡酒店(夫子庙老门东店)	地区:夫子庙地区，距离中华门站345m	价格:537
店名:南京金陵新城饭店	地区:大厂，距离大厂地铁站595m	价格:437
店名:末那电竞酒店	地区:秦淮区，距离中华门站6.1km	价格:380
店名:全季酒店(南京夫子庙中心店)	地区:夫子庙地区，距离夫子庙地铁站260m	价格:558
店名:泊悦·轻居公寓(奥体升龙汇金店)	地区:建邺区，距离永初路地铁站795m	价格:308
店名:南京天禧酒店	地区:南京南站/明发，距离南京南站565m	价格:428
店名:南京大地君悦酒店	地区:新街口地区，距离大行宫地铁站280m	价格:344
店名:仁恒辉盛阁酒店公寓	地区:奥体中心，距离奥体东地铁站425m	价格:863
店名:菲亚达酒店	地区:江浦，距离南京工业大学地铁站820m	价格:158
店名:南京温馨小站国际青年旅舍	地区:新街口地区，距离东方商城215m	价格:70
店名:南京方源金陵国际酒店	地区:三牌楼，距离大观天地1.6km	价格:320
店名:伊家和酒店式公寓(南京奥体升龙汇金店)	地区:建邺区，距离永初路地铁站620m	价格:288
店名:江苏锦江南京饭店	地区:湖南路，距离山西路1.1km	价格:441
店名:宜必思酒店(南京将军大道店)	地区:将军山，距离翠屏山地铁站1.1km	价格:209
店名:壹客壹家影院酒店	地区:南京南站/明发，距离南京南站地铁站725m	价格:298
店名:汉庭(南京仙林大学城店)	地区:仙林大学城，距离南京财经大学仙林校区530m	价格:303
店名:南京新港开发区亚朵酒店	地区:新港开发区，距离仙林站3.4km	价格:431
店名:7天连锁酒店(南京夫子庙地铁站景区店)	地区:夫子庙地区，距离夫子庙地铁站430m	价格:219
店名:麗枫酒店(南京水西门大街莫愁湖公园店)	地区:莫愁湖/水西门，距离莫愁湖地铁站945m	价格:310
店名:清沐连锁酒店(南京新街口大洋百货丰富路店)	地区:新街口地区，距离新街口地铁站475m	价格:166
店名:月色风尚·影院酒店(南京南站喜玛拉雅店)	地区:南京南站/明发，距离南京南站地铁站725m	价格:288
店名:锦江之星品尚(南京葛塘地铁站美利广场店)	地区:大厂，距离葛塘地铁站340m	价格:237
店名:小芒果的民宿(南京南站/证大喜马拉雅店)	地区:岔路口，距离宏运大道地铁站670m	价格:261
店名:MM·曼享精品酒店(禄口机场店)	地区:江宁区，距离禄口机场地铁站1.9km	价格:166
店名:南京左邻右舍温泉客栈	地区:汤山镇，距离仙林站15.6km	价格:680
店名:锦江之星(南京大桥北路店)	地区:华侨城，距离柳洲东路地铁站1.9km	价格:189
店名:如家精选酒店(南京新街口地铁站德基广场店)	地区:新街口地区，距离南京中心大酒店220m	价格:351
店名:泡泡温泉度假庭院	地区:汤山镇，距离仙林站15.7km	价格:424
店名:江苏辰茂新世纪大酒店	地区:火车站/玄武湖，距离南京站地铁站495m	价格:390
店名:南京夫子庙国际青年旅舍	地区:夫子庙地区，距离夫子庙地铁站290m	价格:50
店名:宜必思尚品酒店(南京江宁麒麟门店)	地区:麒麟门，距离仙林站8.3km	价格:342
店名:月色风尚影院酒店(南京南站天隆寺地铁站店)	地区:雨花台区，距离天隆寺地铁站210m	价格:328
店名:如家酒店(南京中山陵景区银城东苑店)	地区:苜蓿园，距离下马坊地铁站1.1km	价格:206
店名:如家商旅酒店(南京新街口地铁站洪武路步行街店)	地区:新街口地区，距离时尚莱迪商城180m	价格:343
店名:南京平山荣逸民宿	地区:六合区，距离六合站10.9km	价格:401
店名:如家酒店(南京新街口常府街地铁站天空之都店)	地区:新街口地区，距离常府街地铁站410m	价格:237
店名:锦江都城(南京南站安德门大街店)	地区:雨花台区，距离天隆寺地铁站735m	价格:469
店名:涟居美宿(仙林大学城徐庄软件园店)	地区:徐庄软件园，距离苏宁总部·徐庄地铁站1.4km	价格:258
店名:莫逆·汤家温泉民宿	地区:汤山镇，距离仙林站15.6km	价格:469
店名:唯爱之星主题宾馆(新街口上海路地铁站店)	地区:新街口地区，距离上海路地铁站240m	价格:148
店名:背包青年旅舍(夫子庙店)	地区:升州路/集庆路，距离水游城135m	价格:69
店名:蓝鲸宿青年旅馆	地区:新街口地区，距离大行宫地铁站320m	价格:78
店名:维也纳酒店(南京夫子庙雨花路店)	地区:秦虹村/中华门，距离中华门站365m	价格:336
店名:桔子精选南京火车南站百家湖酒店	地区:胜太路，距离河定桥地铁站530m	价格:440
店名:南京国际博览中心酒店	地区:南京国际博览中心/元通，距离元通地铁站1.0km	价格:400
店名:云悦兰庭酒店公寓(南京南站南广场喜玛拉雅店)	地区:雨花台区，距离宏运大道地铁站650m	价格:350
店名:南京沃阁北美风情馆客栈	地区:鼓楼区，距离迈皋桥地铁站1.3km	价格:367
店名:知遇酒店	地区:岔路口，距离宏运大道地铁站630m	价格:250
店名:南京未来树生活酒店	地区:新街口地区，距离常府街地铁站395m	价格:238
店名:如家商旅酒店(南京玄武湖新模范马路地铁站店)	地区:新模范马路，距离新模范马路地铁站125m	价格:323
店名:清沐连锁酒店(南京站新庄地铁站店)	地区:火车站/玄武湖，距离南京林业大学·新庄地铁站635m	价格:199
店名:地中海主题酒店	地区:仙林大学城，距离学则路地铁站130m	价格:288
店名:良竺艺术农场民宿	地区:江宁区，距离禄口国际机场15.8km	价格:580
店名:南京西康宾馆	地区:南大/南师大，距离南艺·二师·草场门地铁站810m	价格:398
店名:全季酒店(南京板桥店)	地区:雨花台区，距离南京南站13.6km	价格:293
店名:南京翠屏新港假日酒店	地区:新港开发区，距离仙林站6.2km	价格:812
店名:南京夜泊秦淮君亭酒店·棋峰试馆	地区:夫子庙地区，距离瞻园435m	价格:1177
店名:南京龙荟酒店	地区:南京南站/明发，距离南京南站地铁站755m	价格:348
店名:蝶恋花园主题酒店(迈皋桥地铁站店)	地区:和燕路，距离迈皋桥地铁站330m	价格:194
店名:古南都逸居酒店(南京夫子庙店)	地区:夫子庙地区，距离水游城170m	价格:302
店名:南京青果里六角井客舍	地区:升州路/集庆路，距离中华门站365m	价格:378
店名:南京夜泊秦淮君亭酒店·金陵书画院	地区:夫子庙地区，距离夫子庙地铁站380m	价格:805
店名:九华饭店	地区:珠江路沿线，距离九华山地铁站140m	价格:488
店名:爱之缘网红电影情侣酒店(文德路地铁站店)	地区:江浦，距离雨山路地铁站915m	价格:179
店名:如家商旅酒店(南京火车站北广场玄武湖店)	地区:火车站/玄武湖，距离火车站185m	价格:273
店名:维也纳酒店(南京五塘广场地铁站店)	地区:鼓楼区，距离迈皋桥地铁站1.6km	价格:253
店名:如果太空舱客栈	地区:雨花台区，距离南京南站710m	价格:59
店名:维也纳酒店(南京大厂步行街店)	地区:大厂，距离葛塘地铁站1.6km	价格:229
店名:百合主题宾馆	地区:胜太路，距离同曦鸣城110m	价格:108
